Module	Section	Sample Name	Source
FastQC	all_sections	ERR2117290_1	/domus/h1/cabau/GA_project/analyses/02_trimming/01_fastqc/ERR2117290_1_fastqc.zip
FastQC	all_sections	ERR2117290_2	/domus/h1/cabau/GA_project/analyses/02_trimming/01_fastqc/ERR2117290_2_fastqc.zip
FastQC	all_sections	ERR2117291_1	/domus/h1/cabau/GA_project/analyses/02_trimming/01_fastqc/ERR2117291_1_fastqc.zip
FastQC	all_sections	ERR2117291_2	/domus/h1/cabau/GA_project/analyses/02_trimming/01_fastqc/ERR2117291_2_fastqc.zip
FastQC	all_sections	ERR2117292_1	/domus/h1/cabau/GA_project/analyses/02_trimming/01_fastqc/ERR2117292_1_fastqc.zip
FastQC	all_sections	ERR2117292_2	/domus/h1/cabau/GA_project/analyses/02_trimming/01_fastqc/ERR2117292_2_fastqc.zip
FastQC	all_sections	ERR2036629_P1.trim	/domus/h1/cabau/GA_project/analyses/02_trimming/01_fastqc/ERR2036629_P1.trim_fastqc.zip
FastQC	all_sections	ERR2036629_P2.trim	/domus/h1/cabau/GA_project/analyses/02_trimming/01_fastqc/ERR2036629_P2.trim_fastqc.zip
FastQC	all_sections	ERR2036629_S2.trim	/domus/h1/cabau/GA_project/analyses/02_trimming/01_fastqc/ERR2036629_S2.trim_fastqc.zip
FastQC	all_sections	ERR2036629_S1.trim	/domus/h1/cabau/GA_project/analyses/02_trimming/01_fastqc/ERR2036629_S1.trim_fastqc.zip
FastQC	all_sections	ERR2036630_P2.trim	/domus/h1/cabau/GA_project/analyses/02_trimming/01_fastqc/ERR2036630_P2.trim_fastqc.zip
FastQC	all_sections	ERR2036630_P1.trim	/domus/h1/cabau/GA_project/analyses/02_trimming/01_fastqc/ERR2036630_P1.trim_fastqc.zip
FastQC	all_sections	ERR2036630_S2.trim	/domus/h1/cabau/GA_project/analyses/02_trimming/01_fastqc/ERR2036630_S2.trim_fastqc.zip
FastQC	all_sections	ERR2036630_S1.trim	/domus/h1/cabau/GA_project/analyses/02_trimming/01_fastqc/ERR2036630_S1.trim_fastqc.zip
FastQC	all_sections	ERR2036631_P1.trim	/domus/h1/cabau/GA_project/analyses/02_trimming/01_fastqc/ERR2036631_P1.trim_fastqc.zip
FastQC	all_sections	ERR2036631_P2.trim	/domus/h1/cabau/GA_project/analyses/02_trimming/01_fastqc/ERR2036631_P2.trim_fastqc.zip
FastQC	all_sections	ERR2036631_S2.trim	/domus/h1/cabau/GA_project/analyses/02_trimming/01_fastqc/ERR2036631_S2.trim_fastqc.zip
FastQC	all_sections	ERR2036631_S1.trim	/domus/h1/cabau/GA_project/analyses/02_trimming/01_fastqc/ERR2036631_S1.trim_fastqc.zip
FastQC	all_sections	ERR2036632_P1.trim	/domus/h1/cabau/GA_project/analyses/02_trimming/01_fastqc/ERR2036632_P1.trim_fastqc.zip
FastQC	all_sections	ERR2036632_P2.trim	/domus/h1/cabau/GA_project/analyses/02_trimming/01_fastqc/ERR2036632_P2.trim_fastqc.zip
FastQC	all_sections	ERR2036632_S2.trim	/domus/h1/cabau/GA_project/analyses/02_trimming/01_fastqc/ERR2036632_S2.trim_fastqc.zip
FastQC	all_sections	ERR2036632_S1.trim	/domus/h1/cabau/GA_project/analyses/02_trimming/01_fastqc/ERR2036632_S1.trim_fastqc.zip
FastQC	all_sections	ERR2036633_P1.trim	/domus/h1/cabau/GA_project/analyses/02_trimming/01_fastqc/ERR2036633_P1.trim_fastqc.zip
FastQC	all_sections	ERR2036633_S1.trim	/domus/h1/cabau/GA_project/analyses/02_trimming/01_fastqc/ERR2036633_S1.trim_fastqc.zip
FastQC	all_sections	ERR2036633_S2.trim	/domus/h1/cabau/GA_project/analyses/02_trimming/01_fastqc/ERR2036633_S2.trim_fastqc.zip
FastQC	all_sections	ERR2036633_P2.trim	/domus/h1/cabau/GA_project/analyses/02_trimming/01_fastqc/ERR2036633_P2.trim_fastqc.zip
FastQC	all_sections	ERR2117288_P1.trim	/domus/h1/cabau/GA_project/analyses/02_trimming/01_fastqc/ERR2117288_P1.trim_fastqc.zip
FastQC	all_sections	ERR2117288_S1.trim	/domus/h1/cabau/GA_project/analyses/02_trimming/01_fastqc/ERR2117288_S1.trim_fastqc.zip
FastQC	all_sections	ERR2117288_S2.trim	/domus/h1/cabau/GA_project/analyses/02_trimming/01_fastqc/ERR2117288_S2.trim_fastqc.zip
FastQC	all_sections	ERR2117288_P2.trim	/domus/h1/cabau/GA_project/analyses/02_trimming/01_fastqc/ERR2117288_P2.trim_fastqc.zip
FastQC	all_sections	ERR2117289_P1.trim	/domus/h1/cabau/GA_project/analyses/02_trimming/01_fastqc/ERR2117289_P1.trim_fastqc.zip
FastQC	all_sections	ERR2117289_P2.trim	/domus/h1/cabau/GA_project/analyses/02_trimming/01_fastqc/ERR2117289_P2.trim_fastqc.zip
FastQC	all_sections	ERR2117289_S2.trim	/domus/h1/cabau/GA_project/analyses/02_trimming/01_fastqc/ERR2117289_S2.trim_fastqc.zip
FastQC	all_sections	ERR2117289_S1.trim	/domus/h1/cabau/GA_project/analyses/02_trimming/01_fastqc/ERR2117289_S1.trim_fastqc.zip
FastQC	all_sections	ERR2117290_P1.trim	/domus/h1/cabau/GA_project/analyses/02_trimming/01_fastqc/ERR2117290_P1.trim_fastqc.zip
FastQC	all_sections	ERR2117290_P2.trim	/domus/h1/cabau/GA_project/analyses/02_trimming/01_fastqc/ERR2117290_P2.trim_fastqc.zip
FastQC	all_sections	ERR2117290_S2.trim	/domus/h1/cabau/GA_project/analyses/02_trimming/01_fastqc/ERR2117290_S2.trim_fastqc.zip
FastQC	all_sections	ERR2117290_S1.trim	/domus/h1/cabau/GA_project/analyses/02_trimming/01_fastqc/ERR2117290_S1.trim_fastqc.zip
FastQC	all_sections	ERR2117291_P1.trim	/domus/h1/cabau/GA_project/analyses/02_trimming/01_fastqc/ERR2117291_P1.trim_fastqc.zip
FastQC	all_sections	ERR2117291_P2.trim	/domus/h1/cabau/GA_project/analyses/02_trimming/01_fastqc/ERR2117291_P2.trim_fastqc.zip
FastQC	all_sections	ERR2117291_S2.trim	/domus/h1/cabau/GA_project/analyses/02_trimming/01_fastqc/ERR2117291_S2.trim_fastqc.zip
FastQC	all_sections	ERR2117291_S1.trim	/domus/h1/cabau/GA_project/analyses/02_trimming/01_fastqc/ERR2117291_S1.trim_fastqc.zip
FastQC	all_sections	ERR2117292_P1.trim	/domus/h1/cabau/GA_project/analyses/02_trimming/01_fastqc/ERR2117292_P1.trim_fastqc.zip
FastQC	all_sections	ERR2117292_S1.trim	/domus/h1/cabau/GA_project/analyses/02_trimming/01_fastqc/ERR2117292_S1.trim_fastqc.zip
FastQC	all_sections	ERR2117292_S2.trim	/domus/h1/cabau/GA_project/analyses/02_trimming/01_fastqc/ERR2117292_S2.trim_fastqc.zip
FastQC	all_sections	ERR2117292_P2.trim	/domus/h1/cabau/GA_project/analyses/02_trimming/01_fastqc/ERR2117292_P2.trim_fastqc.zip
